ID;Type;Pattern;StrokeRGB;FillRGB;Sizing;x1;y1;x2;y2;x3;y3;x4;y4
1;SED;sed601.svg;231f20;FFFFFF;40;10;10;15;10;15;15;10;15
2;SED;sed602.svg;231f20;FFFFFF;40;20;20;25;20;25;25;20;25
3;SED;sed603.svg;231f20;FFFFFF;40;30;30;35;30;35;35;30;35
4;SED;sed605.svg;231f20;FFFFFF;40;40;40;45;40;45;45;40;45
5;SED;sed606.svg;231f20;FFFFFF;40;50;50;55;50;55;55;50;55
6;SED;sed607.svg;231f20;FFFFFF;40;60;60;65;60;65;65;60;65
7;SED;sed608.svg;231f20;FFFFFF;40;70;70;75;70;75;75;70;75
8;SED;sed609.svg;231f20;FFFFFF;40;80;80;85;80;85;85;80;85
9;SED;sed610.svg;231f20;FFFFFF;40;90;90;95;90;95;95;90;95
10;SED;sed611.svg;231f20;FFFFFF;40;100;100;105;100;105;105;100;105
11;SED;sed612.svg;231f20;FFFFFF;40;110;110;115;110;115;115;110;115
12;SED;sed613.svg;231f20;FFFFFF;40;120;120;125;120;125;125;120;125
13;SED;sed614.svg;231f20;FFFFFF;40;130;130;135;130;135;135;130;135
14;SED;sed616.svg;231f20;FFFFFF;40;140;140;145;140;145;145;140;145
15;SED;sed617.svg;231f20;FFFFFF;40;150;150;155;150;155;155;150;155
16;SED;sed618.svg;231f20;FFFFFF;40;160;160;165;160;165;165;160;165
17;SED;sed619.svg;231f20;FFFFFF;40;170;170;175;170;175;175;170;175
18;SED;sed620.svg;231f20;FFFFFF;40;180;180;185;180;185;185;180;185
19;SED;sed621.svg;231f20;FFFFFF;40;190;190;195;190;195;195;190;195
20;SED;sed622.svg;231f20;FFFFFF;40;200;200;205;200;205;205;200;205
21;SED;sed623.svg;231f20;FFFFFF;40;210;210;215;210;215;215;210;215
22;SED;sed624.svg;231f20;FFFFFF;40;220;220;225;220;225;225;220;225
23;SED;sed625.svg;231f20;FFFFFF;40;230;230;235;230;235;235;230;235
24;SED;sed626.svg;231f20;FFFFFF;40;240;240;245;240;245;245;240;245
25;SED;sed627.svg;231f20;FFFFFF;40;250;250;255;250;255;255;250;255
26;SED;sed628.svg;231f20;FFFFFF;40;260;260;265;260;265;265;260;265
27;SED;sed629.svg;231f20;FFFFFF;40;270;270;275;270;275;275;270;275
28;SED;sed630.svg;231f20;FFFFFF;40;280;280;285;280;285;285;280;285
29;SED;sed631.svg;231f20;FFFFFF;40;290;290;295;290;295;295;290;295
30;SED;sed632.svg;231f20;FFFFFF;40;300;300;305;300;305;305;300;305
31;SED;sed633.svg;231f20;FFFFFF;40;310;310;315;310;315;315;310;315
32;SED;sed634.svg;231f20;FFFFFF;40;320;320;325;320;325;325;320;325
33;SED;sed635.svg;231f20;FFFFFF;40;330;330;335;330;335;335;330;335
34;SED;sed636.svg;231f20;FFFFFF;40;340;340;345;340;345;345;340;345
35;SED;sed637.svg;231f20;FFFFFF;40;350;350;355;350;355;355;350;355
36;SED;sed638.svg;231f20;FFFFFF;40;360;360;365;360;365;365;360;365
37;SED;sed639.svg;231f20;FFFFFF;40;370;370;375;370;375;375;370;375
38;SED;sed640.svg;231f20;FFFFFF;40;380;380;385;380;385;385;380;385
39;SED;sed641.svg;231f20;FFFFFF;40;390;390;395;390;395;395;390;395
40;SED;sed642.svg;231f20;FFFFFF;40;400;400;405;400;405;405;400;405
41;SED;sed643.svg;231f20;FFFFFF;40;410;410;415;410;415;415;410;415
42;SED;sed644.svg;231f20;FFFFFF;40;420;420;425;420;425;425;420;425
43;SED;sed645.svg;231f20;FFFFFF;40;430;430;435;430;435;435;430;435
44;SED;sed646.svg;231f20;FFFFFF;40;440;440;445;440;445;445;440;445
45;SED;sed647.svg;231f20;FFFFFF;40;450;450;455;450;455;455;450;455
46;SED;sed648.svg;231f20;FFFFFF;40;460;460;465;460;465;465;460;465
47;SED;sed649.svg;231f20;FFFFFF;40;470;470;475;470;475;475;470;475
48;SED;sed650.svg;231f20;FFFFFF;40;480;480;485;480;485;485;480;485
49;SED;sed651.svg;231f20;FFFFFF;40;490;490;495;490;495;495;490;495
50;SED;sed652.svg;231f20;FFFFFF;40;500;500;505;500;505;505;500;505
51;SED;sed653.svg;231f20;FFFFFF;40;510;510;515;510;515;515;510;515
52;SED;sed654.svg;231f20;FFFFFF;40;520;520;525;520;525;525;520;525
53;SED;sed655.svg;231f20;FFFFFF;40;530;530;535;530;535;535;530;535
54;SED;sed656.svg;231f20;FFFFFF;40;540;540;545;540;545;545;540;545
55;SED;sed657.svg;231f20;FFFFFF;40;550;550;555;550;555;555;550;555
56;SED;sed658.svg;231f20;FFFFFF;40;560;560;565;560;565;565;560;565
57;SED;sed659.svg;231f20;FFFFFF;40;570;570;575;570;575;575;570;575
58;SED;sed660.svg;231f20;FFFFFF;40;580;580;585;580;585;585;580;585
59;SED;sed661.svg;231f20;FFFFFF;40;590;590;595;590;595;595;590;595
60;SED;sed662.svg;231f20;FFFFFF;40;600;600;605;600;605;605;600;605
61;SED;sed663.svg;231f20;FFFFFF;40;610;610;615;610;615;615;610;615
62;SED;sed664.svg;231f20;FFFFFF;40;620;620;625;620;625;625;620;625
63;SED;sed665.svg;231f20;FFFFFF;40;630;630;635;630;635;635;630;635
64;SED;sed666.svg;231f20;FFFFFF;40;640;640;645;640;645;645;640;645
65;SED;sed667.svg;231f20;FFFFFF;40;650;650;655;650;655;655;650;655
66;SED;sed668.svg;231f20;FFFFFF;40;660;660;665;660;665;665;660;665
67;SED;sed669.svg;231f20;FFFFFF;40;670;670;675;670;675;675;670;675
68;SED;sed670.svg;231f20;FFFFFF;40;680;680;685;680;685;685;680;685
69;SED;sed671.svg;231f20;FFFFFF;40;690;690;695;690;695;695;690;695
70;SED;sed672.svg;231f20;FFFFFF;40;700;700;705;700;705;705;700;705
71;SED;sed673.svg;231f20;FFFFFF;40;710;710;715;710;715;715;710;715
72;SED;sed674.svg;231f20;FFFFFF;40;720;720;725;720;725;725;720;725
73;SED;sed675.svg;231f20;FFFFFF;40;730;730;735;730;735;735;730;735
74;SED;sed676.svg;231f20;FFFFFF;40;740;740;745;740;745;745;740;745
75;SED;sed677.svg;231f20;FFFFFF;40;750;750;755;750;755;755;750;755
76;SED;sed678.svg;231f20;FFFFFF;40;760;760;765;760;765;765;760;765
77;SED;sed679.svg;231f20;FFFFFF;40;770;770;775;770;775;775;770;775
78;SED;sed680.svg;231f20;FFFFFF;40;780;780;785;780;785;785;780;785
79;SED;sed681.svg;231f20;FFFFFF;40;790;790;795;790;795;795;790;795
80;SED;sed682.svg;231f20;FFFFFF;40;800;800;805;800;805;805;800;805
81;SED;sed683.svg;231f20;FFFFFF;40;810;810;815;810;815;815;810;815
82;SED;sed684.svg;231f20;FFFFFF;40;820;820;825;820;825;825;820;825
83;SED;sed685.svg;231f20;FFFFFF;40;830;830;835;830;835;835;830;835
84;SED;sed686.svg;231f20;FFFFFF;40;840;840;845;840;845;845;840;845
85;IGM;igm701.svg;231f20;FFFFFF;40;850;850;855;850;855;855;850;855
